epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.202,2.62025,3.23166,1.76572,0.21335,0.20013,0.12403,0.03954,2.76452,2.77686,1.54022,0.000199457,0.000199457,0.0802538
2,545.729,2.51351,2.74433,1.70024,0.17708,0.29358,0.18684,0.06391,2.6274,2.41161,1.51199,0.000397022,0.000397022,0.0604514
3,752.975,2.48613,2.66657,1.69096,0.31677,0.31088,0.25993,0.10596,2.39202,2.20077,1.37769,0.000584933,0.000584933,0.0406393
4,989.799,2.42981,2.55765,1.62107,0.39003,0.32621,0.2598,0.08482,2.59939,2.21257,1.45386,0.000756324,0.000756324,0.0208107
