epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.463,2.62025,3.23166,1.76572,0.21335,0.20013,0.12403,0.03954,2.76452,2.77686,1.54022,0.000199457,0.000199457,0.0802538
2,382.13,2.51056,2.74478,1.68127,0.62126,0.14392,0.13517,0.04406,2.81222,6.42628,1.60666,0.000399066,0.000399066,0.0604534
3,564.76,2.49036,2.66729,1.67555,0.33161,0.27128,0.22975,0.0907,2.51818,2.24283,1.39106,0.000597117,0.000597117,0.0406515
4,754.615,2.4427,2.57955,1.62564,0.31021,0.31939,0.24162,0.07895,2.54118,2.50942,1.45302,0.000792447,0.000792447,0.0208468
5,941.019,2.39743,2.49867,1.62732,0.34608,0.29075,0.23284,0.08169,2.8013,2.58606,1.53323,0.000983914,0.000983914,0.00103826
6,1130.51,2.41306,2.51247,1.61431,0.41753,0.39456,0.31001,0.12734,2.39505,2.17147,1.39336,0.000975773,0.000975773,0.000975773
7,1313.5,2.34169,2.39367,1.58375,0.42553,0.30383,0.29884,0.10465,2.51027,2.17791,1.44134,0.000965239,0.000965239,0.000965239
8,1504.15,2.31293,2.37411,1.56693,0.42156,0.28948,0.28033,0.10544,2.54697,2.29218,1.43485,0.000952889,0.000952889,0.000952889
9,1684.34,2.2796,2.32819,1.54663,0.41597,0.34692,0.3275,0.12702,2.40267,2.10845,1.37775,0.000938772,0.000938772,0.000938772
10,1868.1,2.25566,2.28986,1.54385,0.39164,0.33522,0.30069,0.11798,2.37699,2.06604,1.38944,0.000922942,0.000922942,0.000922942
11,2050.94,2.24954,2.22597,1.5272,0.50003,0.34901,0.33568,0.12972,2.34021,1.93959,1.3881,0.000905463,0.000905463,0.000905463
12,2238.67,2.23205,2.23807,1.51935,0.43506,0.36161,0.3252,0.13107,2.35402,2.00103,1.35029,0.000886404,0.000886404,0.000886404
13,2427.67,2.22902,2.17474,1.52488,0.44366,0.39534,0.3509,0.13599,2.35883,1.90892,1.38166,0.000865839,0.000865839,0.000865839
14,2611.43,2.19054,2.14668,1.50724,0.42977,0.38548,0.33521,0.12383,2.39856,1.94263,1.39141,0.000843851,0.000843851,0.000843851
15,2805.14,2.18211,2.10801,1.47073,0.47726,0.362,0.36691,0.14585,2.27362,1.92139,1.35251,0.000820525,0.000820525,0.000820525
16,2994.51,2.15418,2.06554,1.45798,0.44434,0.38022,0.35911,0.13401,2.36107,1.95956,1.3731,0.000795954,0.000795954,0.000795954
17,3174.57,2.12718,2.0576,1.47208,0.47658,0.42453,0.3758,0.14911,2.33266,1.88252,1.37579,0.000770234,0.000770234,0.000770234
18,3354.92,2.10963,2.02133,1.45539,0.46044,0.37885,0.35545,0.1279,2.44869,1.92344,1.40962,0.000743468,0.000743468,0.000743468
19,3544.1,2.11538,2.02132,1.47808,0.53073,0.40679,0.39159,0.14249,2.41344,1.89361,1.40749,0.000715761,0.000715761,0.000715761
20,3725.45,2.11831,1.9889,1.45564,0.47198,0.39439,0.35116,0.12393,2.30562,1.93871,1.3585,0.000687222,0.000687222,0.000687222
21,3912.68,2.10857,1.99862,1.45811,0.54242,0.43044,0.41237,0.16174,2.30837,1.82452,1.34363,0.000657963,0.000657963,0.000657963
22,4096.68,2.07866,1.93699,1.44852,0.56313,0.41025,0.42014,0.1554,2.38508,1.8562,1.42085,0.000628101,0.000628101,0.000628101
23,4283.12,2.03957,1.87793,1.41958,0.57942,0.43043,0.42411,0.1673,2.26101,1.86994,1.35322,0.000597754,0.000597754,0.000597754
24,4469.93,2.01051,1.83885,1.40415,0.51957,0.46274,0.42641,0.15796,2.32629,1.8019,1.39179,0.00056704,0.00056704,0.00056704
25,4658.23,2.001,1.83543,1.40186,0.59602,0.43012,0.43718,0.16413,2.33989,1.80332,1.37981,0.000536081,0.000536081,0.000536081
26,4844.17,2.02161,1.80883,1.40556,0.56441,0.45082,0.42912,0.17042,2.21148,1.79106,1.32336,0.000505,0.000505,0.000505
27,5037.43,2.00296,1.79337,1.40927,0.52426,0.47046,0.43654,0.17483,2.2326,1.76161,1.32427,0.000473919,0.000473919,0.000473919
28,5223.69,1.97325,1.75296,1.40614,0.59819,0.43018,0.44852,0.18068,2.296,1.78671,1.37742,0.00044296,0.00044296,0.00044296
29,5408.97,1.96765,1.71293,1.37675,0.52983,0.45185,0.43342,0.16805,2.25676,1.76712,1.33137,0.000412246,0.000412246,0.000412246
30,5590.9,1.9678,1.72558,1.36192,0.52688,0.46103,0.42974,0.1676,2.30171,1.79344,1.36128,0.000381899,0.000381899,0.000381899
31,5775.93,1.96304,1.70407,1.38195,0.51653,0.43241,0.40213,0.15505,2.36936,1.81768,1.3677,0.000352037,0.000352037,0.000352037
32,5962.43,1.94242,1.68746,1.3781,0.51986,0.46539,0.45116,0.17434,2.32772,1.75002,1.36853,0.000322778,0.000322778,0.000322778
33,6147.54,1.92524,1.64256,1.34989,0.52879,0.44607,0.42091,0.15838,2.31211,1.78796,1.36265,0.000294239,0.000294239,0.000294239
34,6335.67,1.92573,1.64931,1.35579,0.51709,0.47253,0.43024,0.16554,2.29869,1.77483,1.35228,0.000266532,0.000266532,0.000266532
35,6528.03,1.89034,1.60904,1.3528,0.56388,0.47695,0.44832,0.17641,2.27776,1.7182,1.34227,0.000239766,0.000239766,0.000239766
36,6721.32,1.87889,1.59414,1.34065,0.56329,0.43011,0.44365,0.17343,2.23993,1.78383,1.33187,0.000214046,0.000214046,0.000214046
37,6913.53,1.87461,1.58458,1.34107,0.52815,0.48715,0.45271,0.16655,2.34059,1.77055,1.3805,0.000189475,0.000189475,0.000189475
38,7098.1,1.87004,1.56199,1.32395,0.49568,0.45763,0.42135,0.15518,2.25414,1.78612,1.34489,0.000166149,0.000166149,0.000166149
39,7279.69,1.87955,1.55777,1.32857,0.54604,0.47426,0.45053,0.18002,2.21317,1.72987,1.34787,0.000144161,0.000144161,0.000144161
40,7464.47,1.84734,1.5277,1.32447,0.52966,0.48115,0.45078,0.17305,2.23359,1.75333,1.34051,0.000123596,0.000123596,0.000123596
41,7638.31,1.72123,1.3189,1.29916,0.55828,0.48515,0.46966,0.18772,2.24289,1.72214,1.35591,0.000104537,0.000104537,0.000104537
42,7808.02,1.70123,1.29415,1.29032,0.54058,0.47212,0.45236,0.17731,2.21226,1.72874,1.35114,8.70577e-05,8.70577e-05,8.70577e-05
43,7988.77,1.68355,1.27031,1.28586,0.57599,0.44029,0.4456,0.1792,2.20476,1.7165,1.35225,7.12282e-05,7.12282e-05,7.12282e-05
44,8159.58,1.69673,1.2696,1.29229,0.5564,0.44746,0.42784,0.1653,2.23833,1.75746,1.36152,5.71106e-05,5.71106e-05,5.71106e-05
45,8334.71,1.67033,1.25944,1.27879,0.52945,0.45363,0.42338,0.16849,2.23431,1.75767,1.35859,4.47606e-05,4.47606e-05,4.47606e-05
46,8512.82,1.654,1.23026,1.26476,0.56439,0.44975,0.43688,0.17136,2.23446,1.7782,1.36601,3.4227e-05,3.4227e-05,3.4227e-05
47,8679.54,1.64027,1.21243,1.26249,0.55731,0.44583,0.43622,0.17228,2.23005,1.75263,1.37018,2.55513e-05,2.55513e-05,2.55513e-05
48,8856.28,1.65549,1.23298,1.26794,0.55993,0.45185,0.43824,0.16735,2.25796,1.75785,1.37871,1.87678e-05,1.87678e-05,1.87678e-05
49,9031.93,1.6385,1.2384,1.2634,0.5567,0.43977,0.42601,0.16617,2.22883,1.76627,1.37362,1.39032e-05,1.39032e-05,1.39032e-05
50,9204.02,1.65089,1.22394,1.2675,0.57014,0.45271,0.42997,0.16744,2.22931,1.74196,1.37524,1.09768e-05,1.09768e-05,1.09768e-05
